chain,bridge_contract,explorer_url,tx_hash,block_number,block_timestamp,block_time_iso,log_index,depositor,to,poolAddress,tokenFrom,tokenTo,desChain,nonce,symbol,decimals,amount_raw,amount_human
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0x2cbe28aa0c362c73996581ce9b1499691e4d3a45750ca1d5df2096a56a40e96c,0x2cbe28aa0c362c73996581ce9b1499691e4d3a45750ca1d5df2096a56a40e96c,411751987,1766016213,2025-12-18T00:03:33.000Z,5,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x000000000000000000000000000000000094eb6e,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x9404d8283cedd1921dd489e2451027f105017cc2362161c9d392432168dabbec,ETH,18,17000000000000000,0.017
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0x86d24d090bf270cd63e103ab9ae65c936f080a53095b5e09566b112dee78ddb6,0x86d24d090bf270cd63e103ab9ae65c936f080a53095b5e09566b112dee78ddb6,411752473,1766016334,2025-12-18T00:05:34.000Z,3,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x000000000000000000000000000000000094eb6e,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x3286781a75cf797c9f70088aab7c388dbc13db7408255504117e0e3731fc7ddf,ETH,18,17000000000000000,0.017
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0xd0310c202b17234833a188bf75db0320109b42f047eb34c61a4dbc4c69ab0513,0xd0310c202b17234833a188bf75db0320109b42f047eb34c61a4dbc4c69ab0513,411753571,1766016609,2025-12-18T00:10:09.000Z,0,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x000000000000000000000000000000000094eb6e,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x21361305540407aaffabf49e8b3cad574a05c6b71c923199d685e86c0ecc8519,ETH,18,17000000000000000,0.017
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0xa8814e1bd802e305fa7e7b56fb2882999bc62f0be2aaaa2f0ae31ef18f64101f,0xa8814e1bd802e305fa7e7b56fb2882999bc62f0be2aaaa2f0ae31ef18f64101f,411754638,1766016875,2025-12-18T00:14:35.000Z,0,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x000000000000000000000000000000000094eb6e,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x7577e8227c3e8e8b7fcf1dfc319c6c737b900283afede3e1bef69c2be62e44d3,ETH,18,17000000000000000,0.017
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0x0e4420e032167a9b640b61b0bd2d66392a9232f7313d0236171c37a89612c797,0x0e4420e032167a9b640b61b0bd2d66392a9232f7313d0236171c37a89612c797,411865250,1766044491,2025-12-18T07:54:51.000Z,6,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x00000000000000000000000000000000009a55bd,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0xa612137c36579fde6b6a52a9c97079b288ebbc560287774036745a22b4639c57,ETH,18,300000000000000,0.0003
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0x2b07637ed4521f7f8fc39c4dc1a9966fede58d583d6922407047e5c352e3dbbb,0x2b07637ed4521f7f8fc39c4dc1a9966fede58d583d6922407047e5c352e3dbbb,411865834,1766044637,2025-12-18T07:57:17.000Z,7,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x00000000000000000000000000000000009a55bd,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x2a7d22f296fd57f2c740cf9356f4c2a93ec1b2992e255bb1cb6bd79084356855,ETH,18,16000000000000000,0.016
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0xffd86d8b8480daba634ea41e70d9d4d0004c801001e9da0251a7d6e1e955e402,0xffd86d8b8480daba634ea41e70d9d4d0004c801001e9da0251a7d6e1e955e402,411938962,1766062887,2025-12-18T13:01:27.000Z,26,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x00000000000000000000000000000000009a55bd,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000b2ad5,295,0x1968088614a6ea907931cb000f76f7e3b5c77b4bc92166dfe4604880be6264f8,ETH,18,200000000000000,0.0002
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0x4dcdce7a942d62b73f4cd22fbcec3272d37b64d2744aa080d986e7056e768549,0x4dcdce7a942d62b73f4cd22fbcec3272d37b64d2744aa080d986e7056e768549,412230715,1766135693,2025-12-19T09:14:53.000Z,17,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xf10ee4cf289d2f6b53a90229ce16b8646e724418,0xe8efc09814d11640866216db0c24d966c3c4ca24,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x0531558d4e4395624bea1e476ce29ad8c17dfcfc741b60369fbeda252a7193fa,ETH,18,300000000000000,0.0003
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0xb94ec4c82a2e8f8723eba5466cbc321f87a1f1e06e1bbf38c9c6e88e1ca5945a,0xb94ec4c82a2e8f8723eba5466cbc321f87a1f1e06e1bbf38c9c6e88e1ca5945a,412234430,1766136623,2025-12-19T09:30:23.000Z,2,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0x00000000000000000000000000000000009a55bd,0xe8efc09814d11640866216db0c24d966c3c4ca24,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000b2ad5,295,0xfb45963f3b724849ae29d04f85a806809ffed1d1e2d82a537f20c8dad9bc2ad2,ETH,18,210000000000000,0.00021
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,https://arbiscan.io/tx/0xcf62e325ef6b335b2cf2880562549268a1bae3286f8a6fe7de74d0a2eb0b9c8a,0xcf62e325ef6b335b2cf2880562549268a1bae3286f8a6fe7de74d0a2eb0b9c8a,412255659,1766141921,2025-12-19T10:58:41.000Z,0,0x03b3f6f2a00b801299f9339f2b4663e51ef4502a,0xb86eea0cdc07bf53d76f21cd92b2bec1d73f86b1,0xe8efc09814d11640866216db0c24d966c3c4ca24,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,295,0x44dd5397e83f4f2a05627058484a7de54370f97f0a7ca184a25a6366d3adef6d,ETH,18,200000000000000,0.0002
