chain,bridge_contract,explorer_url,transaction_id,consensus_timestamp,consensus_time_iso,from,to,poolAddress,tokenFrom,tokenTo,desChain,nonce,symbol,decimals,amount_raw,amount_human
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766016084-335199768,0.0.9759598-1766016084-335199768,1766016110.748543000,2025-12-18T00:01:50.000Z,0x000000000000000000000000000000000094eb6e,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,42161,0xbb67e42ceb86ab0d381dd8ae0beeee7e96966c0438d687a7a1b3781794c152a4,HBAR,8,44200000000,442
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766016248-624325324,0.0.9759598-1766016248-624325324,1766016275.729203239,2025-12-18T00:04:35.000Z,0x000000000000000000000000000000000094eb6e,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,42161,0x6f58b0b61b238c5ffac839c686cd9644e2389d903845b7a8173786db67cb05b3,HBAR,8,44000000000,440
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766016366-229364649,0.0.9759598-1766016366-229364649,1766016465.802831000,2025-12-18T00:07:45.000Z,0x000000000000000000000000000000000094eb6e,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,42161,0x2abd876e06f1d6ff763c4e760494581d85c7ee1560a99356588727514a493313,HBAR,8,44000000000,440
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766016636-330204377,0.0.9759598-1766016636-330204377,1766016667.133910000,2025-12-18T00:11:07.000Z,0x000000000000000000000000000000000094eb6e,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,42161,0x430f61988c55824dfdf51b8ad0d450120aa09aa191ea26ca737b6e62fc288f0b,HBAR,8,44000000000,440
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766016886-512922612,0.0.9759598-1766016886-512922612,1766016916.083821099,2025-12-18T00:15:16.000Z,0x000000000000000000000000000000000094eb6e,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,42161,0xcb7086766d4acdf52df6db2e716e215fc2ff7244a72a9733330e2cbb48acd4e8,HBAR,8,44000000000,440
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766019527-398733230,0.0.9759598-1766019527-398733230,1766019543.245792000,2025-12-18T00:59:03.000Z,0x000000000000000000000000000000000094eb6e,0x957d906aeb375833e20cf1cf92fa07ad37eede94,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1,0x9d9f3b4b9f354f4222d7a4901e3f9068a41aaff52ff10fd5ca76d32596a3469c,HBAR,8,800000000,8
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766019652-360521129,0.0.9759598-1766019652-360521129,1766019665.973241599,2025-12-18T01:01:05.000Z,0x000000000000000000000000000000000094eb6e,0x957d906aeb375833e20cf1cf92fa07ad37eede94,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1,0x36d5a18c1c00ec7eab82148f6e94d92bdd271999bcda1a5f4152937d2c5f91a8,HBAR,8,1000000000,10
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.9759598-1766020105-767234794,0.0.9759598-1766020105-767234794,1766020118.848841336,2025-12-18T01:08:38.000Z,0x000000000000000000000000000000000094eb6e,0x957d906aeb375833e20cf1cf92fa07ad37eede94,0xe0f537e3815a8ae3e8aa64b176d8c0ec5cee519e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1,0x387e5ef8783d4e4f1aeb7a1e67422d840fd37d04f435b888954e745ae75265a4,HBAR,8,800000000,8
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.10115610-1766135717-393281357,0.0.10115610-1766135717-393281357,1766135732.833085000,2025-12-19T09:15:32.000Z,0xf10ee4cf289d2f6b53a90229ce16b8646e724418,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe8efc09814d11640866216db0c24d966c3c4ca24,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,42161,0xa500dc973728a7f1b8a33b50831b0f080b6e68d87160e29de26fd8385cbb3ee4,HBAR,8,80000000,0.8
hedera,0.0.10115692,https://hashscan.io/mainnet/transaction/0.0.10114493-1766136720-261226325,0.0.10114493-1766136720-261226325,1766136741.785019568,2025-12-19T09:32:21.000Z,0x00000000000000000000000000000000009a55bd,0xee6ffda94fca8b25fa337d4b63a5f9ca6e78465d,0xe8efc09814d11640866216db0c24d966c3c4ca24,0x00000000000000000000000000000000000b2ad5,0x0000000000000000000000000000000000000000,42161,0x2063292b4513e584a6aabe1a399cb13351578641fc63ea821b0b4764b43e2a13,SAUCE,6,60000000,60
